"Gene","Cluster","Centroid_Pearson_Correlation","Silhouette_Width","Rank_Within_Cluster"
"CD74",1,0.973227986338528,0.653190120848313,1
"MTRNR2L8",1,0.954864114522909,0.633264530556644,2
"HLA-DRA",1,0.953537404927125,0.651256783765799,3
"TPM1",1,0.950990322845265,0.625417190964487,4
"MTRNR2L12",1,0.946344085612701,0.642898769446255,5
"IGHA1",1,0.939450121825152,0.637632003776818,6
"CLU",1,0.936305727057413,0.619421865944888,7
"IGLC2",1,0.935414464669153,0.635964274808985,8
"LTF",1,0.93044645719833,0.62051423717551,9
"MT-ND4L",1,0.922276879048047,0.628094383479836,10
"CEBPD",1,0.922162136076083,0.617741994732004,11
"PSMB9",1,0.91867673118409,0.609763652129933,12
"IFI16",1,0.916669730555907,0.611290231491519,13
"MT2A",1,0.913186112294133,0.584747817748963,14
"HLA-A",1,0.909307695309982,0.578284836426718,15
"B2M",1,0.908144527331965,0.557801211711697,16
"HLA-DPA1",1,0.905274317351769,0.603987622673488,17
"NNMT",1,0.905082287484921,0.595153859937464,18
"HLA-DRB1",1,0.899578780911235,0.600428385570245,19
"IGLC3",1,0.888153087358948,0.60068151134533,20
"MMADHC",2,0.991123718292752,0.730679024582868,1
"PRDX2",2,0.988588529806881,0.72119222674023,2
"ATP5PO",2,0.988495963358668,0.732703550763307,3
"TMEM147",2,0.985935683774799,0.724118242632995,4
"PYM1",2,0.984905070189593,0.718751850567248,5
"PIGP",2,0.984848793145565,0.725759755157842,6
"KDELR1",2,0.983617407619931,0.719372407906079,7
"VDAC2",2,0.983167695674556,0.720741041012959,8
"TMEM167A",2,0.982671999930275,0.726750325580482,9
"ERH",2,0.982584175290392,0.723478324369629,10
"PSMD4",2,0.982295510486645,0.712453470392347,11
"LSR",2,0.982222224978477,0.719829291397525,12
"ETFB",2,0.98191326163743,0.724517490732241,13
"TRIR",2,0.981032524964986,0.723704870756369,14
"MTCH1",2,0.980878370820001,0.716555771977368,15
"GHITM",2,0.9806821533566,0.710085178948461,16
"ARL6IP6",2,0.980555487087355,0.720515351198644,17
"SRP19",2,0.980130211620491,0.718173772114719,18
"SOD1",2,0.979908908228897,0.725374761923121,19
"HINT2",2,0.979652589667215,0.720821735519807,20
