"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Enrichment_Group"
"R-HSA-6803157","Antimicrobial peptides",10,-0.886004722228719,-2.2309294724327,3.62986548251222e-07,0.000389847552821812,0.000364514912664911,66,"tags=70%, list=1%, signal=69%","1672/3934/6280/57115/5266/6279/6278","TotalCell"
"R-HSA-156842","Eukaryotic Translation Elongation",77,0.442086207520187,2.14043309371384,6.65587368759947e-06,0.0030108170520381,0.00281517148646903,1762,"tags=60%, list=30%, signal=42%","6158/6228/6193/1933/6217/6231/6130/6205/6203/23521/6165/6171/6230/6152/6144/6141/6161/6208/6142/6128/6229/6206/6201/200916/1938/6155/1915/6147/6132/6223/6222/6154/9349/6143/6125/6133/6204/2197/6189/4736/6166/6159/6146/6138/6202/7311","BRCA1_tumour"
"R-HSA-9954714","PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA",77,0.439389849107438,2.12737823092694,8.41010349731314e-06,0.0030108170520381,0.00281517148646903,1762,"tags=60%, list=30%, signal=42%","6158/6228/6193/10767/6217/6231/6130/6205/6203/23521/6165/6171/6230/6152/6144/6141/6161/6208/6142/6128/6229/6206/6201/200916/6155/6147/6132/6223/53918/6222/6154/9349/6143/6125/6133/6204/2197/6189/4736/6166/6159/6059/6146/6138/6202/7311","BRCA1_tumour"
"R-HSA-6805567","Keratinization",27,-0.662209059585706,-2.16526868212491,2.49374569903238e-05,0.00334785360095096,0.0031303071011538,777,"tags=52%, list=13%, signal=45%","3728/3872/23254/5045/1825/25984/3887/3866/5493/3853/1475/5266/6700/6703","TotalCell"
"R-HSA-6809371","Formation of the cornified envelope",27,-0.662209059585706,-2.16526868212491,2.49374569903238e-05,0.00334785360095096,0.0031303071011538,777,"tags=52%, list=13%, signal=45%","3728/3872/23254/5045/1825/25984/3887/3866/5493/3853/1475/5266/6700/6703","TotalCell"
"R-HSA-156902","Peptide chain elongation",76,0.434867664764644,2.09737687842481,2.02216622358748e-05,0.00334785360095096,0.0031303071011538,1762,"tags=59%, list=30%, signal=42%","6158/6228/6193/6217/6231/6130/6205/6203/23521/6165/6171/6230/6152/6144/6141/6161/6208/6142/6128/6229/6206/6201/200916/1938/6155/1915/6147/6132/6223/6222/6154/9349/6143/6125/6133/6204/2197/6189/4736/6166/6159/6146/6138/6202/7311","BRCA1_tumour"
"R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",80,0.417356148958521,2.06869020230368,1.84366709580252e-05,0.00334785360095096,0.0031303071011538,1762,"tags=57%, list=30%, signal=41%","6158/6228/6193/6217/6231/6130/6205/6203/23521/6165/6171/6230/6152/6144/6141/6161/6208/6142/6128/6229/6206/6201/200916/6155/1981/6147/6132/22916/6223/6222/6154/9349/6143/6125/6133/6204/2197/6189/4736/6166/6159/6146/4686/6138/6202/7311","BRCA1_tumour"
"R-HSA-449147","Signaling by Interleukins",181,-0.404776619832215,-1.80827999108177,1.78133199905232e-05,0.00334785360095096,0.0031303071011538,937,"tags=28%, list=16%, signal=24%","5721/1326/207/4205/6627/301/2002/8660/5595/332/5687/57162/11274/998/29760/5604/598/5478/3597/8517/9235/3654/4478/834/5292/302/9021/3976/5782/53833/6095/146433/6648/4792/7076/4067/9180/3556/6288/1052/6347/3934/64127/3383/2919/6364/4692/5055/26525/56300","TotalCell"
"R-HSA-192823","Viral mRNA Translation",76,0.42175127838329,2.03411624133047,4.31482349669804e-05,0.00489673724356012,0.00457854290929761,1762,"tags=58%, list=30%, signal=41%","6158/6228/6193/6217/6231/6130/6205/6203/23521/6165/6171/6230/6152/6144/6141/6161/6208/6142/6128/6229/6206/6201/200916/2926/6155/6147/6132/6223/6222/6154/9349/6143/6125/6133/6204/2197/6189/4736/6166/6159/6146/6138/6202/7311","BRCA1_tumour"
"R-HSA-2408557","Selenocysteine synthesis",77,0.418646728766416,2.02694700170162,4.81750641098377e-05,0.00489673724356012,0.00457854290929761,1762,"tags=57%, list=30%, signal=40%","6158/6228/6193/6217/6231/6130/6205/6203/23521/6165/6171/6230/6152/6144/22928/6141/6161/6208/6142/6128/6229/6206/6201/200916/6155/6147/6132/6223/6222/6154/9349/6143/6125/6133/6204/2197/6189/4736/6166/6159/6146/6138/6202/7311","BRCA1_tumour"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane",96,0.384575012070812,1.99164619127921,5.01528023083438e-05,0.00489673724356012,0.00457854290929761,1776,"tags=54%, list=30%, signal=38%","6158/6228/6734/6193/6217/6231/6130/6205/6203/23521/6165/6171/6230/6152/6144/6728/6141/6161/6208/6142/6128/6229/6206/6201/200916/10952/6746/6155/6147/6132/6223/6222/6154/9349/6747/6143/6125/6133/6204/6745/2197/6189/4736/6166/6159/6726/6146/6727/6138/6202/7311/6731","BRCA1_tumour"
