"SYMBOL","ENTREZID"
"CRABP2","1382"
"TSEN34","79042"
"CDKN2A","1029"
"CALML5","51806"
"IGKC","3514"
"KRT14","3861"
"PIGR","5284"
"SLPI","6590"
"RPL13A","23521"
"KRT5","3852"
"CSN1S1","1446"
"AGR3","155465"
"ASPM","259266"
"IGFBP5","3488"
"UBE2C","11065"
"TTYH1","57348"
"MT-ND3","4537"
"KRT19","3880"
"RPS6","6194"
"CENPA","1058"
"RPS5","6193"
"CD74","972"
"CENPF","1063"
"TRIR","79002"
"TAGLN","6876"
"LAPTM4A","9741"
"ATP5F1C","509"
"CDK1","983"
"ANKRD30A","91074"
"MYLK","4638"
"RPS18","6222"
"RPL23A","6147"
"CDC20","991"
"MALAT1","378938"
"RPS23","6228"
"TOP2A","7153"
"SF3B6","51639"
"ATP5F1B","506"
"NDUFB5","4711"
"CDCA3","83461"
"LTF","4057"
"ACTA2","59"
"ATP5PO","539"
"CALML3","810"
"PRDX2","7001"
"POLR2H","5437"
"PERP","64065"
"NUDT5","11164"
"KRT8","3856"
"MT-CO2","4513"
"CSTB","1476"
"RPL27","6155"
"RPL35A","6165"
"CDCA8","55143"
"DEPDC1","55635"
"NACA","4666"
"TFF3","7033"
"HLA-DRA","3122"
"COMT","1312"
"HOOK2","29911"
"NUF2","83540"
"FXYD3","5349"
"SLC25A5","292"
"MT-ATP6","4508"
"SPC25","57405"
"CCNB1","891"
"EIF4A2","1974"
"RPS7","6201"
"SOD1","6647"
"CBR3","874"
"RPL28","6158"
"AP2M1","1173"
"VCAN","1462"
"SEC61B","10952"
"MKI67","4288"
"CDKN3","1033"
"TUBA1B","10376"
"AFF3","3899"
"RAD23A","5886"
"AURKB","9212"
"EPCAM","4072"
"AGR2","10551"
"CD63","967"
"CYC1","1537"
"CSN3","1448"
"RPS16","6217"
"SPINT2","10653"
"OST4","100128731"
"CSN2","1447"
"ALDH1A1","216"
"RPL41","6171"
"NEAT1","283131"
"NUSAP1","51203"
"HMGN1","3150"
"BRK1","55845"
"RPL24","6152"
"EEF1A1","1915"
"NNMT","4837"
"RPS10","6204"
"EIF3H","8667"
"SNORC","389084"
"CDK4","1019"
"FBL","2091"
"CUTA","51596"
"PFN1","5216"
"C19orf53","28974"
"ERH","2079"
"UQCRH","7388"
"LMO4","8543"
"DBI","1622"
"MTRNR2L12","100463498"
"HNRNPA1","3178"
"DYNLT1","6993"
"PPA1","5464"
"ANP32B","10541"
"HLA-DRB1","3123"
"TCIM","56892"
"PLK1","5347"
"MT2A","4502"
"YBX1","4904"
"FRZB","2487"
"TMEM205","374882"
"RPL7A","6130"
"ETFB","2109"
"CCT8","10694"
"RPL31","6160"
"PLAT","5327"
"TMEM123","114908"
"BIRC5","332"
"FABP5","2171"
"ABRACL","58527"
"RPL8","6132"
"ZFAS1","441951"
"MARCKSL1","65108"
"ATP5MC2","517"
"HLA-A","3105"
"SAA1","6288"
"HMGB2","3148"
"KRT18","3875"
"LALBA","3906"
"MDK","4192"
"CNPY2","10330"
"NUCKS1","64710"
"RPL18","6141"
"ATP5PD","10476"
"CD36","948"
"B2M","567"
"VDAC2","7417"
"A2M","2"
"AK5","26289"
"IFI16","3428"
"ACTL6A","86"
"JUNB","3726"
"BTF3","689"
"TPX2","22974"
"RPS11","6205"
"DLGAP5","9787"
"RPS26","6231"
"TUBB","203068"
"MMADHC","27249"
"HMMR","3161"
"MT-CYB","4519"
"MRPL47","57129"
"MTRNR2L8","100463486"
"COL8A1","1295"
"HMGA1","3159"
"CDC123","8872"
"RPL18A","6142"
"RAB10","10890"
"RPL7","6129"
"PRDX1","5052"
"POLR1D","51082"
"IFIT1","3434"
"HJURP","55355"
"PSMB2","5690"
"CCNB2","9133"
"RPS25","6230"
"ATP5PF","522"
"ODC1","4953"
"CFL1","1072"
"RPS14","6208"
"TBCB","1155"
"RPL32","6161"
"CA2","760"
"RPL21","6144"
"TECR","9524"
"COL17A1","1308"
"FBXO32","114907"
"CKS2","1164"
"CRYAB","1410"
"RPS20","6224"
"NAP1L1","4673"
"HLA-B","3106"
"KRT6B","3854"
"MRPS15","64960"
"COX4I1","1327"
"CCND1","595"
"RPL6","6128"
"TTC3","7267"
"DDX39A","10212"
"CYB5A","1528"
"UBE2S","27338"
"ATP5MC3","518"
"COMMD6","170622"
"DKK3","27122"
"VIM","7431"
"MT-CO1","4512"
"HP","3240"
"CCNA2","890"
"CENPE","1062"
"MYH11","4629"
"KRT17","3872"
"COPE","11316"
"PHGDH","26227"
"RPL22L1","200916"
"COL4A2","1284"
"MT-ND4L","4539"
"PIP","5304"
"PDIA6","10130"
"TMEM213","155006"
"RPS8","6202"
"CLU","1191"
"LAGE3","8270"
"RPL13","6137"
"PTTG1","9232"
"RANBP1","5902"
"TACSTD2","4070"
"RPS4X","6191"
"TIMP1","7076"
"SMC4","10051"
"S100A10","6281"
"EMP2","2013"
"MT-ND5","4540"
"REXO2","25996"
"TUBA1C","84790"
"HNRNPA2B1","3181"
"CNN1","1264"
"MYL9","10398"
"TMSB10","9168"
"MRPS6","64968"
"TBCA","6902"
"IL32","9235"
"CCT5","22948"
"COL6A2","1292"
"ATP6V1G1","9550"
"RPL23","9349"
"TF","7018"
"S100A11","6282"
"NEK2","4751"
"MT-CO3","4514"
"ATP5MG","10632"
"PDCD6","10016"
"AURKA","6790"
"SH3YL1","26751"
"JCHAIN","3512"
"WDR83OS","51398"
"TNFSF10","8743"
"COX7C","1350"
"RPS27A","6233"
"IER2","9592"
"PCBP2","5094"
"RACK1","10399"
"UBB","7314"
"IFI27","3429"
"CD9","928"
"HLA-DPA1","3113"
"CXCL2","2920"
"CAV1","857"
"TMEM167A","153339"
"SGO1","151648"
"CALR","811"
"SAA2","6289"
"SPARCL1","8404"
"NTN4","59277"
"PBK","55872"
"SCRG1","11341"
"MYC","4609"
"CBR1","873"
"RBP1","5947"
"KDELR1","10945"
"DPM1","8813"
"CHCHD2","51142"
"SAP18","10284"
"BCL2A1","597"
"THUMPD3-AS1","440944"
"SSB","6741"
"HEY1","23462"
"EEF1B2","1933"
"ISOC2","79763"
"CENPW","387103"
"UBE2T","29089"
"MT-ND4","4538"
"PSMB1","5689"
"RPS9","6203"
"GAPDH","2597"
"PIGP","51227"
"STMN1","3925"
"ECT2","1894"
"PTN","5764"
"HDAC2","3066"
"PFDN5","5204"
"SSR3","6747"
"COL6A1","1291"
"TMC5","79838"
"HLA-DQA1","3117"
"LPL","4023"
"KPNA2","3838"
"S100A1","6271"
"TSHZ2","128553"
"SLC7A2","6542"
"SLC25A6","293"
"HLA-C","3107"
"TIMP3","7078"
"AR","367"
"RBM17","84991"
"SCUBE2","57758"
"RPL5","6125"
"PSMA5","5686"
"MMP3","4314"
"RHEX","440712"
"PPP2R1A","5518"
"YWHAQ","10971"
"MGST3","4259"
"RPL4","6124"
"COL4A1","1282"
"CEBPD","1052"
"RPLP2","6181"
"GHITM","27069"
"ILF2","3608"
"LSM4","25804"
"RPLP0","6175"
"BIRC3","330"
"RPL10A","4736"
"RPS19","6223"
"OCIAD2","132299"
"HES1","3280"
"MDH1","4190"
"SERP1","27230"
"CXCL14","9547"
"SGO2","151246"
"GMPS","8833"
"XBP1","7494"
"FDPS","2224"
"RPL26","6154"
"TAGLN2","8407"
"BEST4","266675"
"KIF23","9493"
"CFAP298","56683"
"PDCD5","9141"
"RPL27A","6157"
"CKS1B","1163"
"TMEM14B","81853"
"XIST","7503"
"HSPB1","3315"
"SDC1","6382"
"GTSE1","51512"
"IFIT2","3433"
"KIF2C","11004"
"APP","351"
"RRM2","6241"
"IDH2","3418"
"BABAM1","29086"
"PRPF31","26121"
"HINT2","84681"
"ACP1","52"
"MGP","4256"
"SLC3A2","6520"
"MRPL36","64979"
"SNRPD1","6632"
"RPS24","6229"
"HIGD2A","192286"
"NDUFB9","4715"
"CLIC1","1192"
"CCNL1","57018"
"PSMB5","5693"
"KRT15","3866"
"STAC2","342667"
"HSPE1","3336"
"DSP","1832"
"RPS17","6218"
"NDUFB4","4710"
"SNRPF","6636"
"CCT2","10576"
"MAGOH","4116"
"HTN1","3346"
"SYT8","90019"
"CCL2","6347"
"IFI44L","10964"
"RPL39L","116832"
"PSMB9","5698"
"S100A8","6279"
"ATP5PB","515"
"NDUFB3","4709"
"MAD2L1","4085"
"CALM2","805"
"DPY30","84661"
"SERBP1","26135"
"CRABP1","1381"
"ARF1","375"
"RPL34","6164"
"ZG16B","124220"
"SLC25A37","51312"
"LDHB","3945"
"CCSER2","54462"
"MT1E","4493"
"C4BPA","722"
"C1S","716"
"TSPO","706"
"UTP11","51118"
"JUN","3725"
"SQLE","6713"
"CCT4","10575"
"COX6B1","1340"
"NPM1","4869"
"SERPING1","710"
"NDC80","10403"
"PSMB4","5692"
"NDUFB7","4713"
"BANF1","8815"
"CLTA","1211"
"SIX1","6495"
"JUND","3727"
"RPL9","6133"
"BST2","684"
"CA12","771"
"SUMO3","6612"
"CHST1","8534"
"C4BPB","725"
"IGHG1","3500"
"DDT","1652"
"RSAD2","91543"
"LGALS1","3956"
"ARL6IP5","10550"
"MYL6","4637"
"LGALS3BP","3959"
"CDCA2","157313"
"RPS12","6206"
"PCLAF","9768"
"HMGB1","3146"
"ARPC3","10094"
"ATP1B3","483"
"CXADR","1525"
"ISG15","9636"
"GSTP1","2950"
"FOS","2353"
"PPIC","5480"
"SNRPE","6635"
